booking_id,booking_status,changed_at,changed_by
4455155,temp,2016-05-05T13:46:54.791+02:00,
4455155,temp,2016-05-05T13:48:38.603+02:00,
4455155,temp,2016-05-05T13:48:41.716+02:00,
4455155,temp,2016-05-05T14:07:28.658+02:00,
4455155,temp,2016-05-05T14:08:57.177+02:00,
4455155,temp,2016-05-05T14:13:59.886+02:00,
4455155,temp,2016-05-05T14:14:01.331+02:00,
4455155,temp,2016-05-05T14:20:01.171+02:00,
4455155,active,2016-05-05T14:27:13.545+02:00,customer
4455155,active,2016-05-06T23:30:30.536+02:00,
4455155,active,2016-05-07T19:30:14.384+02:00,
4455155,active,2016-05-14T19:30:11.114+02:00,
4455155,active,2016-06-02T04:57:56.906+02:00,
25398369,temp,2017-12-12T09:33:41.105+01:00,
25398369,temp,2017-12-12T09:36:32.901+01:00,
25398369,temp,2017-12-12T09:36:32.924+01:00,
25398369,active,2017-12-12T09:36:34.889+01:00,
25398369,active,2017-12-13T23:32:24.668+01:00,
25398369,active,2017-12-14T18:30:22.045+01:00,
25398369,active,2017-12-21T18:30:47.364+01:00,
25398369,active,2018-01-02T04:38:16.210+01:00,
25398369,active,2023-08-15T09:53:10.656+02:00,staff
28260246,temp,2018-02-04T20:40:51.114+01:00,
28260246,temp,2018-02-04T20:47:37.128+01:00,
28260246,active,2018-02-04T20:48:38.299+01:00,
28260246,active,2018-02-17T23:34:41.022+01:00,
28260246,active,2018-02-18T15:01:13.339+01:00,
28260246,active,2018-02-25T15:00:34.158+01:00,
28260246,active,2018-03-02T05:09:15.982+01:00,
28260246,active,2023-08-16T11:21:06.055+02:00,staff
31479243,temp,2018-03-23T17:34:55.318+01:00,
31479243,temp,2018-03-23T17:38:26.209+01:00,
31479243,active,2018-03-23T17:40:21.424+01:00,
31479243,active,2018-08-20T23:31:23.352+02:00,
31479243,active,2018-08-21T20:30:15.507+02:00,
31479243,active,2018-08-28T20:30:09.986+02:00,
31479243,active,2018-09-02T04:59:14.706+02:00,
32168427,temp,2018-03-30T21:06:51.150+02:00,
32168427,temp,2018-03-30T21:17:10.674+02:00,
32168427,active,2018-03-30T21:18:37.928+02:00,
32168427,canceled,2018-04-03T12:46:42.974+02:00,
32357691,temp,2018-04-01T21:34:55.051+02:00,
32357691,temp,2018-04-01T21:36:22.857+02:00,
32357691,active,2018-04-01T21:37:25.191+02:00,
32357691,active,2018-05-11T23:32:31.096+02:00,
32357691,active,2018-05-12T18:30:10.384+02:00,
32357691,active,2018-06-02T04:49:31.638+02:00,
