booking_id,tour_id,customer_id,supplier_id,destination_id,booking_status,number_of_participants,total_price_in_cents,currency_code,commission_rate,checkout_at,travel_at,created_at,cancelled_at
4455155,42802,978994400,10558,173,active,2,15000,EUR,23.0,2016-05-05T13:46:55.000+02:00,2016-05-06T15:30:00.000+02:00,2016-05-05T13:46:55.000+02:00,
25398369,42802,42,10558,173,active,2,13100,EUR,28.0,2017-12-12T09:33:41.000+01:00,2017-12-13T15:30:00.000+01:00,2017-12-12T09:33:41.000+01:00,
28260246,11209,42,2021,835,active,2,9000,EUR,25.0,2018-02-04T20:40:51.000+01:00,2018-02-17T08:00:00.000+01:00,2018-02-04T20:40:51.000+01:00,
31479243,73600,1551711646,16377,162,active,2,11800,EUR,25.0,2018-03-23T17:34:55.000+01:00,2018-08-20T18:30:00.000+02:00,2018-03-23T17:34:55.000+01:00,
32168427,132999,2029963817,51924,32123,canceled,2,3175,EUR,25.0,2018-03-30T21:06:51.000+02:00,2018-05-05T17:00:00.000+02:00,2018-03-30T21:06:51.000+02:00,2018-04-03T12:46:42.000+02:00
32357691,97251,42,16377,45,active,2,252600,EUR,25.0,2018-04-01T21:34:55.000+02:00,2018-05-11T08:30:00.000+02:00,2018-04-01T21:34:55.000+02:00,
36255192,126842,2047652560,19780,208,active,5,14400,EUR,30.0,2018-05-17T20:47:01.000+02:00,2018-05-19T08:00:00.000+02:00,2018-05-17T20:47:01.000+02:00,
40363341,153291,868786176,68280,494,active,2,11970,EUR,16.0,2018-07-04T23:30:04.000+02:00,2018-07-05T10:00:00.000+02:00,2018-07-04T23:30:04.000+02:00,
41136210,132999,42,51924,32123,active,3,3832,EUR,30.010000228881836,2018-07-11T20:26:05.000+02:00,2019-02-23T16:30:00.000+01:00,2018-07-11T20:26:05.000+02:00,
43674030,148604,42,20236,33,active,2,8986,EUR,24.993999481201172,2018-08-02T12:13:29.000+02:00,2018-08-26T08:45:00.000+02:00,2018-08-02T12:13:29.000+02:00,
44992599,132999,42,51924,32123,active,4,3832,EUR,30.010000228881836,2018-08-12T14:52:02.000+02:00,2018-08-17T23:30:00.000+02:00,2018-08-12T14:52:02.000+02:00,
46497692,132999,665098649,51924,32123,active,4,3832,EUR,30.01,2018-08-25T03:12:55.000+02:00,2018-09-10T00:00:00.000+02:00,2018-08-25T03:12:55.000+02:00,
48733076,126842,1216941391,19780,208,active,2,5000,EUR,30.0,2018-09-16T19:14:43.000+02:00,2018-09-17T08:00:00.000+02:00,2018-09-16T19:14:43.000+02:00,
48821369,11209,42,2021,835,active,6,27000,EUR,25.0,2018-09-17T17:02:46.000+02:00,2018-09-25T08:00:00.000+02:00,2018-09-17T17:02:46.000+02:00,
49299413,132999,601465730,51924,32123,canceled,2,3376,EUR,30.01,2018-09-22T14:34:38.000+02:00,2018-10-03T15:00:00.000+02:00,2018-09-22T14:34:38.000+02:00,2018-09-22T15:41:13.000+02:00
50768793,148604,1704024932,20236,33,active,2,8986,EUR,24.994,2018-10-06T21:31:32.000+02:00,2018-10-19T08:45:00.000+02:00,2018-10-06T21:31:32.000+02:00,
53867580,73600,42,16377,162,active,2,11800,EUR,25.0,2018-11-07T21:27:06.000+01:00,2018-11-09T18:30:00.000+01:00,2018-11-07T21:27:06.000+01:00,
54145635,132999,1146161183,51924,32123,active,2,3414,EUR,30.01,2018-11-11T19:44:24.000+01:00,2018-12-14T12:30:00.000+01:00,2018-11-11T19:44:24.000+01:00,
55432762,126842,42,19780,208,active,2,5000,EUR,30.0,2018-11-30T11:21:21.000+01:00,2019-02-08T08:00:00.000+01:00,2018-11-30T11:21:21.000+01:00,
57462220,132999,42,51924,32123,canceled,2,4047,EUR,30.965999603271484,2018-12-26T14:48:53.000+01:00,2019-01-25T20:00:00.000+01:00,2018-12-26T14:48:53.000+01:00,2018-12-27T10:59:00.000+01:00
65290383,38573,42,2811,111,canceled,1,5400,EUR,25.0,2019-03-14T11:22:38.000+01:00,2019-03-20T08:30:00.000+01:00,2019-03-14T11:22:38.000+01:00,2019-03-19T14:49:29.000+01:00
66496785,148604,76157547,20236,33,active,2,8986,EUR,30.002,2019-03-23T18:44:50.000+01:00,2019-04-25T09:30:00.000+02:00,2019-03-23T18:44:50.000+01:00,
70343827,131373,605193622,605,287,active,2,8946,EUR,25.0,2019-04-14T18:54:16.000+02:00,2019-05-24T17:00:00.000+02:00,2019-04-14T18:54:16.000+02:00,
72703367,132999,233107438,51924,32123,active,2,4206,EUR,30.966,2019-04-22T21:31:40.000+02:00,2019-10-10T20:30:00.000+02:00,2019-04-22T21:31:40.000+02:00,
94019782,132999,418837130,51924,32123,active,4,7478,EUR,30.0,2019-07-15T09:09:30.000+02:00,2019-08-13T10:30:00.000+02:00,2019-07-15T09:09:30.000+02:00,
114510897,38573,303382569,2811,111,active,2,9028,EUR,25.0,2019-09-11T19:22:16.000+02:00,2019-12-29T08:30:00.000+01:00,2019-09-11T19:22:16.000+02:00,
116883088,131373,1738576709,605,287,active,2,7186,EUR,25.0,2019-09-20T12:53:09.000+02:00,2019-09-23T17:00:00.000+02:00,2019-09-20T12:53:09.000+02:00,
118526823,131373,1247132643,605,287,active,2,8778,EUR,25.0,2019-09-26T12:10:08.000+02:00,2019-09-27T17:00:00.000+02:00,2019-09-26T12:10:08.000+02:00,
118951723,132999,1766138330,51924,32123,canceled,3,4478,EUR,30.966,2019-09-28T00:11:47.000+02:00,2019-10-07T08:30:00.000+02:00,2019-09-28T00:11:47.000+02:00,2019-09-28T12:23:42.000+02:00
122177813,58194,42,2811,111,active,2,307364,EUR,30.0,2019-10-09T01:41:16.000+02:00,2019-10-14T08:30:00.000+02:00,2019-10-09T01:41:16.000+02:00,
123951983,11209,42,2021,835,active,2,9000,EUR,25.0,2019-10-15T12:18:26.000+02:00,2019-10-19T09:00:00.000+02:00,2019-10-15T12:18:26.000+02:00,
131282816,38573,797833378,2811,111,active,2,47546,EUR,25.0,2019-11-13T20:28:09.000+01:00,2019-11-15T08:30:00.000+01:00,2019-11-13T20:28:09.000+01:00,
134214716,131373,769726620,605,287,active,3,11700,EUR,25.0,2019-11-28T12:31:37.000+01:00,2019-11-30T11:30:00.000+01:00,2019-11-28T12:31:37.000+01:00,
134931701,132999,42,51924,32123,active,2,45600,EUR,30.965999603271484,2019-12-01T12:12:28.000+01:00,2019-12-08T16:30:00.000+01:00,2019-12-01T12:12:28.000+01:00,
144288406,126842,42,19780,208,active,2,5880,EUR,35.0,2020-01-06T17:00:55.000+01:00,2020-01-09T08:00:00.000+01:00,2020-01-06T17:00:55.000+01:00,
152645011,126842,160576324,19780,208,active,2,3840,EUR,35.0,2020-02-10T22:09:07.000+01:00,2020-02-11T08:00:00.000+01:00,2020-02-10T22:09:07.000+01:00,
160123430,229687,1611718271,1661,26,canceled,2,6400,EUR,20.0,2020-07-24T17:18:17.000+02:00,2020-07-27T15:30:00.000+02:00,2020-07-24T17:18:17.000+02:00,2020-07-27T13:59:45.000+02:00
163813959,399166,42,137492,145468,active,1,11707,EUR,25.00200080871582,2021-06-04T14:01:11.000+02:00,2021-07-09T09:00:00.000+02:00,2021-06-04T14:01:11.000+02:00,
164361507,399859,1709166867,237040,32570,active,3,5485,EUR,25.014,2021-06-25T22:09:15.000+02:00,2021-06-28T20:30:00.000+02:00,2021-06-25T22:09:15.000+02:00,
165101712,399859,42,237040,32570,active,2,4390,EUR,25.01099967956543,2021-07-15T15:45:29.000+02:00,2021-08-07T20:30:00.000+02:00,2021-07-15T15:45:29.000+02:00,
165723884,399859,42,237040,32570,active,3,6584,EUR,25.01099967956543,2021-07-28T23:03:29.000+02:00,2021-07-28T20:30:00.000+02:00,2021-07-28T23:03:29.000+02:00,
166423453,399859,42,237040,32570,active,11,17550,EUR,25.013999938964844,2021-08-10T21:31:58.000+02:00,2021-08-13T20:30:00.000+02:00,2021-08-10T21:31:58.000+02:00,
168609398,399859,42,237040,32570,active,4,6580,EUR,25.014999389648438,2021-09-28T13:36:32.000+02:00,2021-10-02T20:30:00.000+02:00,2021-09-28T13:36:32.000+02:00,
168909349,404682,42,13776,173,active,2,19100,EUR,12.0,2021-10-06T12:18:50.000+02:00,2021-10-06T10:00:00.000+02:00,2021-10-06T12:18:50.000+02:00,
168992787,404682,612411526,13776,173,active,1,2251,EUR,12.0,2021-10-08T12:54:40.000+02:00,2021-10-11T10:00:00.000+02:00,2021-10-08T12:54:40.000+02:00,
169082292,404682,1433665608,13776,173,active,2,14840,EUR,11.998,2021-10-10T13:19:55.000+02:00,2021-11-22T09:30:00.000+01:00,2021-10-10T13:19:55.000+02:00,
169247080,404682,961874491,13776,173,active,2,19100,EUR,12.0,2021-10-14T08:05:03.000+02:00,2021-10-14T10:00:00.000+02:00,2021-10-14T08:05:03.000+02:00,
169306127,404682,2000040726,13776,173,active,1,2242,EUR,12.0,2021-10-15T15:43:39.000+02:00,2021-10-16T10:00:00.000+02:00,2021-10-15T15:43:39.000+02:00,
169381167,404682,211967577,13776,173,canceled,3,6723,EUR,12.0,2021-10-17T11:40:37.000+02:00,2021-12-30T10:00:00.000+01:00,2021-10-17T11:40:37.000+02:00,2021-10-23T12:38:52.000+02:00
169418774,404682,42,13776,173,active,2,3782,EUR,12.0,2021-10-18T00:12:20.000+02:00,2021-11-12T10:00:00.000+01:00,2021-10-18T00:12:20.000+02:00,
169544118,404682,1360438532,13776,173,canceled,5,11175,EUR,12.0,2021-10-20T18:39:16.000+02:00,2022-01-01T10:00:00.000+01:00,2021-10-20T18:39:16.000+02:00,2021-12-22T08:11:34.000+01:00
169563481,404682,1307040332,13776,173,active,2,0,EUR,12.0,2021-10-21T07:20:13.000+02:00,2021-10-21T10:00:00.000+02:00,2021-10-21T07:20:13.000+02:00,
169659249,404682,42,13776,173,active,2,4466,EUR,12.0,2021-10-23T11:54:05.000+02:00,2021-10-23T10:00:00.000+02:00,2021-10-23T11:54:05.000+02:00,
169709502,404682,2038607361,13776,173,active,2,380200,EUR,12.0,2021-10-24T13:16:13.000+02:00,2021-10-25T10:00:00.000+02:00,2021-10-24T13:16:13.000+02:00,
169879154,404682,624390965,13776,173,active,2,4484,EUR,12.0,2021-10-27T20:01:55.000+02:00,2021-11-02T10:00:00.000+01:00,2021-10-27T20:01:55.000+02:00,
170175108,404682,1394904897,68280,173,active,2,4490,EUR,12.0,2021-11-03T17:20:43.000+01:00,2021-11-04T10:00:00.000+01:00,2021-11-03T17:20:43.000+01:00,
170184055,404682,42,68280,173,active,1,2245,EUR,12.0,2021-11-03T21:22:31.000+01:00,2021-11-08T10:00:00.000+01:00,2021-11-03T21:22:31.000+01:00,
170197330,404682,42,68280,173,active,2,4478,EUR,12.0,2021-11-04T09:59:04.000+01:00,2021-12-28T10:00:00.000+01:00,2021-11-04T09:59:04.000+01:00,
170238095,404682,1920988986,68280,173,active,2,4500,EUR,12.0,2021-11-05T11:23:07.000+01:00,2021-11-12T10:00:00.000+01:00,2021-11-05T11:23:07.000+01:00,
