ticket_id,booking_id,customer_id,ticket_category,ticket_priority,ticket_status,created_at,first_response_at,resolved_at
542470,242992187,854555600,2562248948,normal,Closed,2023-11-27T04:43:56.000+01:00,,
544086,242992187,854555600,3390984299,normal,Closed,2023-11-27T11:47:05.000+01:00,,
554814,242992187,854555600,1886103254,normal,Closed,2023-11-28T20:48:49.000+01:00,,
960702,248228354,1261962100,65236478,normal,Closed,2024-01-23T08:01:05.000+01:00,,
2512855,260014251,1163478700,337759437,urgent,Closed,2024-04-19T06:01:20.000+02:00,,
2513004,260014251,1163478700,337759437,urgent,Closed,2024-04-19T06:34:34.000+02:00,,
2692272,263768852,1612139200,3111673738,normal,Closed,2024-05-04T17:20:30.000+02:00,,
2902862,261354296,706255800,3289669775,normal,Closed,2024-05-24T17:37:50.000+02:00,,
3063969,262777293,1889540500,2562248948,normal,Closed,2024-06-10T05:03:55.000+02:00,,
4192214,285426424,2027446600,cr_-_customer__post-booking__supplier_information,urgent,Closed,2024-09-13T01:30:41.000+02:00,,
4227598,288372628,1161454600,cr_-_b2b_supplier__4._performance__4.6_booking_questions__4.6.1_booking_questions,urgent,Closed,2024-09-16T11:50:39.000+02:00,,
4360734,289869260,30772300,cr_-_customer__post-booking__pickup_/_drop-off,high,Closed,2024-09-28T03:58:54.000+02:00,,
4372510,289869260,30772300,cr_-_customer__action_-_process__complaint__complaint_-_multiple_exchanges,normal,Closed,2024-09-29T09:46:35.000+02:00,,
4375858,289869260,30772300,cr_-_customer__post-booking,normal,Closed,2024-09-29T15:59:14.000+02:00,,
4381529,289869260,30772300,cr_-_customer__post-booking,normal,Closed,2024-09-30T06:47:31.000+02:00,,
5366000,300289809,418624200,cr_-_customer__post-booking__voucher_/_ticket_/_confirmation,urgent,Closed,2025-01-11T11:19:53.000+01:00,,
5366066,300289809,418624200,cr_-_customer__action_-_technical__post-booking__unconfirmed_booking,urgent,Closed,2025-01-11T11:27:13.000+01:00,,
5422847,297241398,599201000,cr_-_customer__post-booking__voucher_/_ticket_/_confirmation,urgent,Closed,2025-01-18T10:42:57.000+01:00,,
5422959,297241398,599201000,cr_-_customer__post-booking__voucher_/_ticket_/_confirmation,urgent,Closed,2025-01-18T10:59:23.000+01:00,,
5429672,297241398,599201000,cr_-_customer__post-booking__refund,normal,Closed,2025-01-19T09:20:31.000+01:00,,
5429767,297241398,599201000,cr_-_customer__post-booking__refund,normal,Closed,2025-01-19T09:34:42.000+01:00,,
5517391,289869260,30772300,cr_-_customer__post-booking__cancellation,urgent,Closed,2025-01-29T10:15:05.000+01:00,,
5517635,289869260,30772300,cr_-_customer__post-booking,urgent,Closed,2025-01-29T10:37:37.000+01:00,,
5598175,306840473,513098400,cr_-_customer__post-booking__other,normal,Closed,2025-02-04T20:56:22.000+01:00,,
5944522,306840473,513098400,cr_-_customer__post-booking__refund,urgent,Closed,2025-03-01T22:24:03.000+01:00,,
5944857,306840473,513098400,cr_-_customer__post-booking__refund,urgent,Closed,2025-03-01T22:57:40.000+01:00,,
5951775,306840473,513098400,cr_-_customer__post-booking__cancellation,urgent,Closed,2025-03-02T10:43:36.000+01:00,,
6129125,314465055,691151900,cr_-_supplier__post-booking__cancellation,urgent,Closed,2025-03-09T06:37:10.000+01:00,,
6481442,317117092,1958490000,cr_-_customer__post-booking__voucher_/_ticket_/_confirmation,urgent,Closed,2025-03-24T06:57:47.000+01:00,,
6481519,317117092,1958490000,cr_-_supplier__action_-_technical__post-booking__unconfirmed_booking,urgent,Closed,2025-03-24T07:03:22.000+01:00,,
6675989,317995582,1770584500,cr_-_customer__post-booking__start_or_end_time_/_duration,normal,Closed,2025-03-31T12:47:38.000+02:00,,
6969152,320521598,1420654700,cr_-_customer__post-booking__voucher_/_ticket_/_confirmation,normal,Closed,2025-04-11T14:56:39.000+02:00,,
7468923,294091243,2147227800,cr_-_b2b_supplier__6._customer_reviews__6.1_customer_reviews__6.1.1_review_management,low,Closed,2025-04-28T15:29:00.000+02:00,,
7505070,324482650,572427600,cr_-_customer__post-booking__voucher_/_ticket_/_confirmation,urgent,Closed,2025-04-29T20:56:58.000+02:00,,
7505600,324482650,572427600,cr_-_customer__post-booking__voucher_/_ticket_/_confirmation,urgent,Closed,2025-04-29T21:25:26.000+02:00,,
7505606,324482650,572427600,cr_-_customer__action_-_technical__post-booking__unconfirmed_booking,urgent,Closed,2025-04-29T21:25:56.000+02:00,,
8230057,327670856,984332300,cr_-_customer__post-booking__guide_/_language,low,Closed,2025-05-27T17:05:44.000+02:00,,
8740914,333536351,5103400,cr_-_customer__post-booking__cancellation,urgent,Closed,2025-06-15T22:27:47.000+02:00,,
8741152,333536351,5103400,cr_-_customer__post-booking__cancellation,normal,Closed,2025-06-15T22:41:21.000+02:00,,
9175099,327670856,984332300,cr_-_customer__post-booking__voucher_/_ticket_/_confirmation,low,Closed,2025-07-02T17:54:48.000+02:00,,
9373203,323687029,1331165000,cr_-_customer__post-booking__guide_/_language,urgent,Closed,2025-07-10T03:43:22.000+02:00,,
9591774,340635399,1813940400,general_inquiry,normal,Closed,2025-07-18T00:08:07.000+02:00,,
9619171,333897825,386102700,cr_-_customer__post-booking__voucher_/_ticket_/_confirmation,urgent,Closed,2025-07-18T20:21:19.000+02:00,,
9619399,333897825,386102700,cr_-_customer__post-booking__voucher_/_ticket_/_confirmation,urgent,Closed,2025-07-18T20:31:12.000+02:00,,
10608835,349145522,655475700,cr_-_customer__post-booking__inclusions_and_itineraries,urgent,Closed,2025-08-19T18:52:18.000+02:00,,
11920387,353415260,792014100,cr_-_customer__post-booking__voucher_/_ticket_/_confirmation,urgent,Closed,2025-10-02T06:49:10.000+02:00,,
12240600,347067481,1280213600,cr_-_customer__post-booking__refund,normal,Closed,2025-10-12T19:55:06.000+02:00,,
12280534,354968107,630491200,cr_-_customer__post-booking__refund,urgent,Closed,2025-10-14T05:42:13.000+02:00,,
13289191,368562579,1562262600,cr_-_supplier__post-booking__refund,urgent,Closed,2025-11-22T11:18:37.000+01:00,,
13955485,375304717,1986983600,cr_-_supplier__post-booking__refund,urgent,Closed,2025-12-25T09:52:03.000+01:00,,
14198097,376255952,1049972700,cr_-_customer__post-booking,normal,Closed,2026-01-02T14:13:24.000+01:00,,
14238700,377439795,704228200,cr_-_customer__post-booking__cancellation,urgent,Closed,2026-01-03T21:54:36.000+01:00,,
14376628,377883352,14451900,cr_-_customer__post-booking,normal,Closed,2026-01-09T07:40:06.000+01:00,,
14393794,377958798,401441700,cr_-_customer__post-booking,normal,Closed,2026-01-10T00:00:26.000+01:00,,
14417868,339614414,1884955500,cr_-_customer__post-booking,normal,Closed,2026-01-11T05:40:18.000+01:00,,
14464481,378617932,486913200,cr_-_customer__post-booking,normal,Closed,2026-01-13T12:30:07.000+01:00,,
14522282,379082092,1426865300,cr_-_customer__post-booking,normal,Closed,2026-01-16T09:30:08.000+01:00,,
14825168,378946896,922221000,cr_-_customer__post-booking__participants,urgent,Closed,2026-01-30T21:58:26.000+01:00,,
14869903,378946896,922221000,cr_-_customer__action_-_technical__other__other,normal,Closed,2026-02-02T01:45:35.000+01:00,,
14889434,378946896,922221000,cr_-_customer__post-booking,normal,Closed,2026-02-02T21:50:16.000+01:00,,
14890854,378946896,922221000,cr_-_customer__post-booking,normal,Closed,2026-02-02T23:30:23.000+01:00,,
14903656,378946896,922221000,cr_-_customer__post-booking,urgent,Closed,2026-02-03T14:15:19.000+01:00,,
